stop_id,stop_code,stop_name,stop_lat,stop_lon
Św._Katarzyna_-_szkoła,51.0254970000,17.1147820000
ZAWALNA,51.1343026500,17.0372263100
Ojca_Beyzyma,51.0906467900,16.9922862000
Hartmana,51.1599490000,16.8771594500
Skarżyńskiego,51.1092096100,16.9041677300
PILCZYCE,51.1366514700,16.9480223600
Kamień_Jantarowa,51.1675219700,17.2264468700
Iwiny_-_Kolejowa,51.0397000000,17.0740870000
Nowowiejska,51.1242394000,17.0449878900
Łużycka,51.1362300800,17.0164017000
Siechnice_-_Staszica,51.0222210000,17.1606040000
Gajowa,51.0919384600,17.0400436800
C.H._Korona,51.1404469700,17.0940870700
ŻAR,51.1497779800,16.8342710000
JAKSONOWICE,51.2494584000,17.2451136000
OSOBOWICE,51.1374777700,16.9936599100
Łosice,51.2167830000,17.2051533000
Kamienna_(Widna),51.0862699700,17.0448769600
Wrocławski_Park_Przemysłowy,51.1125054600,16.9934106100
BROCHÓW,51.0589704200,17.0864756900
Gromadzka,51.1292307400,16.8548804800
Górnicza,51.1399021200,16.9594143300
Polanowicka,51.1700628700,17.0236699200
Na_Niskich_Łąkach,51.0962539600,17.0565709000
EPI,51.0981847300,17.0304730000
Stalowa,51.0995606500,17.0006904600
Tunelowa,51.0648777300,17.0654839500
Tczewska,51.1306065700,17.1119496900
Krępicka,51.1513831800,16.8561835800
Piramowicza,51.1030638600,17.0957370100
DW._ŚWIEBODZKI,51.1084941300,17.0176683400
KAMIEŃSKIEGO_(pętla),51.1507006200,17.0432173400
Karłowicza,51.1170463300,17.0864598400
Na_Niskich_Łąkach,51.0966840400,17.0577493300
Inżynierska,51.0945401200,16.9919639100
Żerniki_Wr._-_Orla,51.0358500000,17.0579340000
Mielecka,51.0897803900,17.0001582400
Spółdzielcza,51.1026601700,17.1024250500
Roweckiego,51.0506420100,17.0304024400
Metalowców,51.1324312000,16.9577751900
Jarnołtowska_(Samotworska),51.1200838600,16.8502475600
Dyrekcyjna,51.0943013600,17.0322290900
Zajezdnia_Obornicka,51.1487374400,17.0210685900
Świętokrzyska,51.1172973300,17.0441863200
ROD_Mieczyk,51.0641251200,17.0692762000
Jeleniogórska,51.1453345700,16.8780290600
