indeks nazwa x y
515 Wilkszyn_-_Polna 51.189 16.8662
516 Kiełczów_Ładna 51.1441 17.1566
517 Zaporoska 51.0979 17.0147
518 Wojanowska 51.1547 16.8939
519 Stabłowice 51.1559 16.8911
520 ZACHODNIA_(Stacja_kolejowa) 51.116 17.0013
521 Urząd_Wojewódzki 51.1086 17.05
522 GAŁÓW_(pętla) 51.1119 16.8106
523 Borowa_-_skrzyżowanie 51.1945 17.28
524 Złotniki 51.1395 16.8917
525 Kowalska 51.129 17.1136
526 Januszkowice_-_Wierzbowa 51.224 17.2385
527 ŁOZINA 51.2323 17.1764
528 Żmudzka 51.144 17.141
529 Park_Tysiąclecia 51.1087 16.9433
530 Siechnice_-_CPN_n_ż 51.0392 17.1291
531 DWORZEC_GŁÓWNY 51.0992 17.0341
532 Krucza 51.0934 17.0084
533 POŚWIĘCKA_(Ośrodek_zdrowia) 51.1565 17.0321
534 Wyszyńskiego 51.1219 17.053
535 Park_Zachodni 51.1299 16.9709
536 Nowy_Dwór_(Stacja_kolejowa) 51.1199 16.953
537 BLIZANOWICE 51.0701 17.1572
538 Dolmed 51.1144 17.0027
539 Bajana 51.1306 16.9672
540 Strzegomska_56 51.1143 16.9846
541 Poznańska 51.1211 17.0119
542 Brzezina_-_Chrobrego 51.2015 16.835
543 Ziemniaczana 51.053 17.0935
544 mosty_Mieszczańskie 51.1176 17.0249
545 Bałtycka 51.1376 17.0306
546 Kępa_-_Skrzyżowanie 51.2412 17.1956
547 Kominiarska 51.1692 16.9972
548 Armii_Krajowej 51.0878 17.0683
549 Wiśniowa 51.0835 17.0247
550 Raków_-_skrzyżowanie 51.1676 17.2761
551 Serbska_(C.K._Agora) 51.1339 17.0196
552 Rysia 51.1279 16.9906
553 Świeradowska 51.077 17.0462
554 Wołowska 51.1473 17.0299
555 Marszowicka 51.1632 16.8785
556 DWORZEC_GŁÓWNY 51.0996 17.0373
557 Wzgórze_Partyzantów 51.1038 17.0385
558 Swojczycka 51.1142 17.1162
559 Jutrosińska 51.1464 17.0419
560 Kwiska 51.1253 16.9834
561 Metalowców 51.1327 16.9583
562 Biskupice_Podgórne_LG_Electronics 51.0237 16.8909
563 Rondo 51.0907 17.0171
564 Bukowina_-_skrzyżowanie 51.205 17.153
565 Wiślańska 51.1359 16.979
566 Bujwida 51.1134 17.0669
567 Hubska 51.0916 17.0439
568 Strachowice_General_Aviation 51.105 16.8991
569 SZCZODRE 51.1945 17.1828
570 Nowy_Dwór_(Rogowska) 51.1187 16.9538
571 Słowiańska 51.1235 17.0402
572 Psie_Pole_(Rondo_Lotników_Polskich) 51.1466 17.1154
573 Bagatela 51.1528 17.0694
574 Las_Mokrzański 51.1759 16.8335
